stop_name,type
강변,subway
잠실나루,subway
잠실,subway
잠실새내,subway
동대입구,subway
군자,subway
금정,subway
종합운동장,subway
삼성,subway
선릉,subway
역삼,subway
강남,subway
교대,subway
경복궁,subway
안국,subway
종로3가,subway
을지로3가,subway
금호,subway
옥수,subway
압구정,subway
신사,subway
잠원,subway
고속터미널,subway
교대,subway
남부터미널,subway
양재,subway
매봉,subway
도곡,subway
대치,subway
학여울,subway
대청,subway
일원,subway
방배,subway
사당,subway
낙성대,subway
서울대입구,subway
봉천,subway
신림,subway
신대방,subway
구로디지털단지,subway
신도림,subway
문래,subway
영등포구청,subway
수서,subway
남태령,subway
방화,subway
개화산,subway
김포공항,subway
송정,subway
마곡,subway
발산,subway
우장산,subway
화곡,subway
까치산,subway
신정,subway
목동,subway
용답,subway
신정네거리,subway
지축,subway
구파발,subway
연신내,subway
불광,subway
녹번,subway
홍제,subway
무악재,subway
독립문,subway
오목교,subway
양평,subway
영등포구청,subway
영등포시장,subway
신길,subway
녹양,subway
여의도,subway
여의나루,subway
마포,subway
공덕,subway
애오개,subway
서대문,subway
광화문,subway
종로3가,subway
을지로4가,subway
을지로입구,subway
을지로3가,subway
을지로4가,subway
동대문역사문화공원,subway
신당,subway
한양대,subway
뚝섬,subway
성수,subway
건대입구,subway
구의,subway
당산,subway
합정,subway
홍대입구,subway
신촌,subway
이대,subway
신금호,subway
행당,subway
마장,subway
답십리,subway
장한평,subway
아현,subway
충정로,subway
충정로,subway
군자,subway
아차산,subway
광나루,subway
천호,subway
강동,subway
길동,subway
굽은다리,subway
명일,subway
고덕,subway
상일동,subway
둔촌동,subway
올림픽공원,subway
방이,subway
오금,subway
개롱,subway
거여,subway
마천,subway
미사,subway
하남풍산,subway
응암,subway
역촌,subway
불광,subway
독바위,subway
연신내,subway
구산,subway
새절,subway
증산,subway
디지털미디어시티,subway
월드컵경기장,subway
가락시장,subway
경찰병원,subway
오금,subway
당고개,subway
상계,subway
노원,subway
창동,subway
쌍문,subway
수유,subway
미아,subway
미아사거리,subway
길음,subway
성신여대입구,subway
한성대입구,subway
혜화,subway
동대문,subway
동대문역사문화공원,subway
왕십리,subway
신답,subway
마포구청,subway
망원,subway
합정,subway
상수,subway
광흥창,subway
대흥,subway
공덕,subway
효창공원앞,subway
삼각지,subway
녹사평,subway
이태원,subway
한강진,subway
버티고개,subway
약수,subway
청구,subway
신당,subway
동묘앞,subway
창신,subway
보문,subway
안암,subway
고려대,subway
월곡,subway
상월곡,subway
돌곶이,subway
석계,subway
태릉입구,subway
화랑대,subway
봉화산,subway
장암,subway
중화,subway
상봉,subway
면목,subway
사가정,subway
용마산,subway
중곡,subway
어린이대공원,subway
건대입구,subway
뚝섬유원지,subway
청담,subway
강남구청,subway
학동,subway
논현,subway
반포,subway
고속터미널,subway
내방,subway
이수,subway
남성,subway
숭실대입구,subway
상도,subway
장승배기,subway
신대방삼거리,subway
보라매,subway
신풍,subway
대림,subway
남구로,subway
가산디지털단지,subway
철산,subway
광명사거리,subway
천왕,subway
온수,subway
검단사거리,subway
까치울,subway
부천종합운동장,subway
춘의,subway
부평구청,subway
암사,subway
천호,subway
강동구청,subway
몽촌토성,subway
잠실,subway
신흥,subway
수진,subway
모란,subway
선정릉,subway
삼성중앙,subway
봉은사,subway
종합운동장,subway
삼전,subway
석촌고분,subway
석촌,subway
송파나루,subway
한성백제,subway
올림픽공원,subway
인천대공원,subway
